Adair:Oklahoma, United States
Adams:Illinois, United States
Adams:Nebraska, United States
Adams:Ohio, United States
Alamance:North Carolina, United States
Albany:New York, United States
Alcona:Michigan, United States
Alcorn:Mississippi, United States
Alexander:Illinois, United States
Allamakee:Iowa, United States
Allegany:New York, United States
Allegheny:Pennsylvania, United States
Allen:Ohio, United States
Alpine:California, United States
Anne Arundel:Maryland, United States
Antelope:Nebraska, United States
Antrim:Michigan, United States
Apache:Arizona, United States
Arapahoe:Colorado, United States
Arlington:Virginia, United States
Aroostook:Maine, United States
Ashland:Ohio, United States
Ashtabula:Ohio, United States
Athens:Ohio, United States
Audrain:Missouri, United States
Auglaize:Ohio, United States
Autauga:Alabama, United States
Avery:North Carolina, United States
Barnstable:Massachusetts, United States
Barry:Michigan, United States
Barton:Missouri, United States
Bartow:Georgia, United States
Bayfield:Wisconsin, United States
Bazoria:Texas, United States
Belknap:New Hampshire, United States
Bell:Texas, United States
Belmont:Ohio, United States
Bennington:Vermont, United States
Benton:Arkansas, United States
Benton:Oregon, United States
Benzie:Michigan, United States
Bergen:New Jersey, United States
Berks:Pennsylvania, United States
Berkshire:Massachusetts, United States
Bernalillo:New Mexico, United States
Berrien:Michigan, United States
Bexar:Texas, United States
Blackford:Indiana, United States
Blaine:Montana, United States
Blaine:Nebraska, United States
Boone:Illinois, United States
Boone:Missouri, United States
Boone:Nebraska, United States
Bowie:Texas, United States
Box Butte:Nebraska, United States
Boyd:Nebraska, United States
Brazoria:Texas, United States
Brevard:Florida, United States
Brewster:Texas, United States
Bristol:Massachusetts, United States
Brooke:West Virginia, United States
Broome:New York, United States
Broward:Florida, United States
Brown:Nebraska, United States
Brown:Ohio, United States
Brown:South Dakota, United States
Brown:Wisconsin, United States
Brunswick:North Carolina, United States
Buchanan:Missouri, United States
Bucks:Pennsylvania, United States
Buena Vista:Iowa, United States
Buffalo:Nebraska, United States
Bureau:Illinois, United States
Burlington:New Jersey, United States
Burnet:Texas, United States
Burnett:Wisconsin, United States
Burt:Nebraska, United States
Butler:Nebraska, United States
Butler:Ohio, United States
Cabell:West Virginia, United States
Calaveras:California, United States
Caldwell:North Carolina, United States
Caledonia:Vermont, United States
Calhoun:Mississippi, United States
Callaway:Missouri, United States
Calumet:Wisconsin, United States
Cambria:Pennsylvania, United States
Camden:Missouri, United States
Cameron:Texas, United States
Cape Giradeau:Missouri, United States
Cape Girardeau:Missouri, United States
Carbon:Pennsylvania, United States
Carroll:Illinois, United States
Carroll:Maryland, United States
Carroll:New Hampshire, United States
Carroll:Ohio, United States
Cascade:Montana, United States
Cass:Illinois, United States
Cass:Minnesota, United States
Cass:Missouri, United States
Cass:Nebraska, United States
Catron:New Mexico, United States
Cattaraugus:New York, United States
Cayuga:New York, United States
Cecil:Maryland, United States
Cedar:Missouri, United States
Cedar:Nebraska, United States
Champaign:Illinois, United States
Champaign:Ohio, United States
Champaigne:Illinois, United States
Chariton:Missouri, United States
Charles:Maryland, United States
Chase:Nebraska, United States
Chatham:North Carolina, United States
Chautauqua:New York, United States
Chemung:New York, United States
Chenango:New York, United States
Cherokee:North Carolina, United States
Cherry:Nebraska, United States
Cheshire:New Hampshire, United States
Chester:Pennsylvania, United States
Cheyenne:Nebraska, United States
Chickasaw:Mississippi, United States
Chippewa:Wisconsin, United States
Chittenden:Vermont, United States
Christian:Illinois, United States
Cibola:New Mexico, United States
Clackamas:Oregon, United States
Clallam:Washington, United States
Clark:Missouri, United States
Clark:Ohio, United States
Clay:Florida, United States
Clay:Illinois, United States
Clay:Missouri, United States
Clay:Nebraska, United States
Clermont:Ohio, United States
Clinton:Illinois, United States
Clinton:Missouri, United States
Clinton:New York, United States
Clinton:Ohio, United States
Coconino:Arizona, United States
Cole:Missouri, United States
Coles:Illinois, United States
Colfax:Nebraska, United States
Colfax:New Mexico, United States
Columbia:New York, United States
Columbia:Wisconsin, United States
Columbiana:Ohio, United States
Comanche:Oklahoma, United States
Converse:Wyoming, United States
Cook:Illinois, United States
Cooper:Missouri, United States
Coos:New Hampshire, United States
Copiah:Mississippi, United States
Cortland:New York, United States
Coshocton:Ohio, United States
Crawford:Illinois, United States
Crawford:Missouri, United States
Crawford:Ohio, United States
Crawford:Wisconsin, United States
Cumberland:Illinois, United States
Cumberland:Maine, United States
Cumberland:Tennessee, United States
Cumberland:Virginia, United States
Cuming:Nebraska, United States
Curry:New Mexico, United States
Custer:Nebraska, United States
Custer:South Dakota, United States
Cuyahoga:Ohio, United States
Dade:Missouri, United States
Dakota:Nebraska, United States
Dallas:Missouri, United States
Dane:Wisconsin, United States
Daniels:Montana, United States
Dare:North Carolina, United States
Darke:Ohio, United States
Davidson:North Carolina, United States
Daviess:Missouri, United States
Dawes:Nebraska, United States
Dawson:Nebraska, United States
De Baca:New Mexico, United States
Decatur:Kansas, United States
Defiance:Ohio, United States
Delaware:New York, United States
Delaware:Ohio, United States
Denton:Texas, United States
Dewey:South Dakota, United States
Dickinson:Iowa, United States
Dixon:Nebraska, United States
Dodge:Nebraska, United States
Dodge:Wisconsin, United States
Doniphan:Kansas, United States
Door:Wisconsin, United States
Douglas:Colorado, United States
Douglas:Illinois, United States
Douglas:Nebraska, United States
Douglas:Nevada, United States
Douglas:Wisconsin, United States
Dundy:Nebraska, United States
Dunn:Wisconsin, United States
Dutchess:New York State, United States
Dutchess:New York, United States
Eau Claire:Wisconsin, United States
Eddy:New Mexico, United States
Edwards:Illinois, United States
Effingham:Illinois, United States
El Paso:Texas, United States
Emmet:Michigan, United States
Erie:New York, United States
Erie:Ohio, United States
Erie:Pennsylvania, United States
Essex:Massachusetts, United States
Essex:New York, United States
Fairfield:Connecticut, United States
Fairfield:Ohio, United States
Fauquier:Virginia, United States
Fayette:Illinois, United States
Fayette:Ohio, United States
Fayette:Pennsylvania, United States
Fayette:West Virginia, United States
Fillmore:Minnesota, United States
Fillmore:Nebraska, United States
Flathead:Montana, United States
Fluvanna:Virginia, United States
Ford:Illinois, United States
Forsyth:North Carolina, United States
Fort Bend:Texas, United States
Franklin:Arkansas, United States
Franklin:Florida, United States
Franklin:Illinois, United States
Franklin:Maine, United States
Franklin:Massachusetts, United States
Franklin:Missouri, United States
Franklin:Nebraska, United States
Franklin:New York, United States
Franklin:Ohio, United States
Franklin:Vermont, United States
Frederick:Maryland, United States
Fremont:Wyoming, United States
Frontier:Nebraska, United States
Fulton:Illinois, United States
Fulton:New York, United States
Fulton:Ohio, United States
Furas:Nebraska, United States
Furnas:Nebraska, United States
Gage:Nebraska, United States
Gallatin:Illinois, United States
Gallia:Ohio, United States
Galveston:Texas, United States
Garden:Nebraska, United States
Gasconade:Missouri, United States
